College Name,City,State,Score,Rank
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,51.40,51
Great Lakes Institute of Management,Gurgaon,Haryana,51.35,52
Fore School of Management,New Delhi,Delhi,51.08,53
Chitkara University,Rajpura,Punjab,51.02,54
Nirma University,Ahmedabad,Gujarat,51.01,55
"International Management Institute, Kolkata",Kolkata,West Bengal,50.97,56
Indian Institute of Management Sirmaur,Sirmaur,Himachal Pradesh,50.92,57
"T. A. Pai Management Institute, Manipal",Manipal,Karnataka,50.78,58
Graphic Era University,Dehradun,Uttarakhand,50.59,59
Christ University,Bengaluru,Karnataka,50.56,60
"International Management Institute, Bhubaneswar",Bhubaneswar,Odisha,50.38,61
Siksha `O` Anusandhan,Bhubaneswar,Odisha,49.69,62
K J Somaiya Institute of Management Studies and Research,Mumbai,Maharashtra,49.66,63
Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,49.44,64
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,49.40,65
Loyola Institute of Business Administration,Chennai,Tamil Nadu,49.26,66
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,49.24,67
Malaviya National Institute of Technology,Jaipur,Rajasthan,49.14,68
Anna University,Chennai,Tamil Nadu,48.92,69
Aligarh Muslim University,Aligarh,Uttar Pradesh,48.68,70
Alliance University,Bengaluru,Karnataka,48.38,71
"Jaipuria Institute of Management, Lucknow",Lucknow,Uttar Pradesh,48.32,72
"Manipal University, Jaipur",Jaipur,Rajasthan,48.10,73
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,47.92,74
Jaipuria Institute of Management,Jaipur,Rajasthan,47.56,75
National Institute of Technology Calicut,Kozhikode,Kerala,47.55,76
"Jain University, Bangalore",Bengaluru,Karnataka,47.47,77
Jamia Hamdard,New Delhi,Delhi,47.39,78
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,47.27,79
PSG College of Technology,Coimbatore,Tamil Nadu,47.13,80
Cochin University of Science and Technology,Cochin,Kerala,47.08,81
Thiagarajar School of Management,Madurai,Tamil Nadu,47.02,82
BML Munjal University,Gurgaon,Haryana,46.67,83
Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Mumbai,Maharashtra,46.53,84
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,46.47,85
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,46.42,86
Jagan Institute of Management Studies Technical Campus,Delhi,Delhi,46.38,87
New Delhi Institute of Management,Delhi,Delhi,46.29,88
Pandit Deendayal Energy University,Gandhinagar,Gujarat,45.39,89
Birla Institute of Technology,Ranchi,Jharkhand,45.00,90
National Institute of Bank Management,Pune,Maharashtra,44.85,91
Panjab University,Chandigarh,Chandigarh,44.70,92
Rajagiri Business School,Cochin,Kerala,44.33,93
Bharathidasan Institute of Management,Tiruchirappalli,Tamil Nadu,44.17,94
Tezpur University,Tezpur,Assam,43.48,95
National Institute of Agricultural Extension Management,Hyderabad,Telangana,43.17,96
Institute of Management Technology,Hyderabad,Telangana,43.01,97
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,42.90,98
Krea University,Sri City,Andhra Pradesh,42.82,99
National Institute of Technology Warangal,Warangal,Telangana,42.63,100
